Date,Open,High,Low,Close,Adj Close,Volume
1996-04-01,9.450000,9.450000,9.450000,9.450000,2.399353,0
1996-04-02,9.480000,9.480000,9.480000,9.480000,2.406968,0
1996-04-03,9.480000,9.480000,9.480000,9.480000,2.406968,0
1996-04-04,9.440000,9.440000,9.440000,9.440000,2.396814,0
1996-04-08,9.270000,9.270000,9.270000,9.270000,2.353652,0
1996-04-09,9.310000,9.310000,9.310000,9.310000,2.363808,0
1996-04-10,9.280000,9.280000,9.280000,9.280000,2.356191,0
1996-04-11,9.260000,9.260000,9.260000,9.260000,2.351113,0
1996-04-12,9.390000,9.390000,9.390000,9.390000,2.384120,0
1996-04-15,9.420000,9.420000,9.420000,9.420000,2.391735,0
1996-04-16,9.430000,9.430000,9.430000,9.430000,2.394274,0
1996-04-17,9.410000,9.410000,9.410000,9.410000,2.389198,0
1996-04-18,9.380000,9.380000,9.380000,9.380000,2.381581,0
1996-04-19,9.380000,9.380000,9.380000,9.380000,2.381581,0
1996-04-22,9.440000,9.440000,9.440000,9.440000,2.396814,0
1996-04-23,9.420000,9.420000,9.420000,9.420000,2.391735,0
1996-04-24,9.390000,9.390000,9.390000,9.390000,2.384120,0
1996-04-25,9.400000,9.400000,9.400000,9.400000,2.386659,0
1996-04-26,9.420000,9.420000,9.420000,9.420000,2.391735,0
1996-04-29,9.400000,9.400000,9.400000,9.400000,2.386659,0
1996-04-30,9.300000,9.300000,9.300000,9.300000,2.376438,0
1996-05-01,9.290000,9.290000,9.290000,9.290000,2.373882,0
1996-05-02,9.190000,9.190000,9.190000,9.190000,2.348329,0
1996-05-03,9.180000,9.180000,9.180000,9.180000,2.345774,0
1996-05-06,9.190000,9.190000,9.190000,9.190000,2.348329,0
1996-05-07,9.210000,9.210000,9.210000,9.210000,2.353441,0
1996-05-08,9.230000,9.230000,9.230000,9.230000,2.358550,0
1996-05-09,9.220000,9.220000,9.220000,9.220000,2.355995,0
1996-05-10,9.280000,9.280000,9.280000,9.280000,2.371328,0
1996-05-13,9.290000,9.290000,9.290000,9.290000,2.373882,0
1996-05-14,9.320000,9.320000,9.320000,9.320000,2.381550,0
1996-05-15,9.350000,9.350000,9.350000,9.350000,2.389213,0
1996-05-16,9.310000,9.310000,9.310000,9.310000,2.378994,0
1996-05-17,9.340000,9.340000,9.340000,9.340000,2.386658,0
1996-05-20,9.370000,9.370000,9.370000,9.370000,2.394325,0
1996-05-21,9.360000,9.360000,9.360000,9.360000,2.391770,0
1996-05-22,9.370000,9.370000,9.370000,9.370000,2.394325,0
1996-05-23,9.350000,9.350000,9.350000,9.350000,2.389213,0
1996-05-24,9.360000,9.360000,9.360000,9.360000,2.391770,0
1996-05-28,9.360000,9.360000,9.360000,9.360000,2.391770,0
1996-05-29,9.320000,9.320000,9.320000,9.320000,2.381550,0
1996-05-30,9.360000,9.360000,9.360000,9.360000,2.391770,0
1996-05-31,9.270000,9.270000,9.270000,9.270000,2.384053,0
1996-06-03,9.300000,9.300000,9.300000,9.300000,2.391771,0
1996-06-04,9.310000,9.310000,9.310000,9.310000,2.394342,0
1996-06-05,9.330000,9.330000,9.330000,9.330000,2.399483,0
1996-06-06,9.110000,9.110000,9.110000,9.110000,2.342905,0
1996-06-07,9.280000,9.280000,9.280000,9.280000,2.386626,0
1996-06-10,9.260000,9.260000,9.260000,9.260000,2.381482,0
1996-06-11,8.740000,8.740000,8.740000,8.740000,2.247746,0
